triggerDesc,percentage,triggerType
"a trigger that monitors changes in your facebook profile information. it works with these facebook profile fields: name, profile picture, location, website, and bio.",0.03,external_service
"any new record in your 'ifttt event' sobject can cause this trigger to fire. you can use the salesforce ui (web or mobile), apex triggers, process builder, etc to insert new records thus causing this ifttt trigger to fire. note: you or your salesforce adm",0.03,external_service
ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,0.21,other
child has had money added,0.03,manual_interaction
child has had money removed,0.03,other
fires when a new incident gets assigned to the current user.,0.03,other
indicates whether the carbon is clean or dirty,0.05,weather
send ifttt a tagged sms by adding a hashtag symbol anywhere in the message (e.g. #ifttt). ,0.03,external_service
send ifttt an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #ifttt) and this trigger fires. you can optionally add a single file attachment (up to 30mb) and ifttt will create a public url to the file as an ingredient.,0.34,manual_interaction
send ifttt an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #ifttt) and this trigger fires. you can optionally add a single file attachment and ifttt will create a public url to the file as an ingredient.,0.42,manual_interaction
send ifttt any email at trigger@applet.ifttt.com and this trigger fires. you can optionally add a single file attachment and ifttt will create a public url to the file as an ingredient. ,0.5,manual_interaction
send ifttt any email at trigger@applet.ifttt.com and this trigger fires. you can optionally add a single file attachment and ifttt will create a public url to the file as an ingredient. this trigger will reject emails with attachments over 30mb.,0.32,manual_interaction
the otiom tag has entered an alarm state,0.03,external_service
the trigger fires every time your home enters away mode.,0.05,device_state
the trigger fires when motion sensor detects occupancy.,0.03,motion
the trigger fires when the swann video doorbell button is pressed.,0.08,manual_interaction
the trigger fires when there is a breaking news alert.,0.03,external_service
the trigger fires when your smoke detector detects a smoke alarm.,0.05,external_service
this trigger activates whenever peak time savings hours are announced and during various stages of an event.,0.03,schedule
this trigger fires 30 minutes after the end of a dryer cycle.,0.03,schedule
this trigger fires 30 minutes after the end of a wash cycle.,0.03,schedule
"this trigger fires a set number of minutes before the starting time of an event on your calendar that contains a specific keyword or phrase in the event’s title, description, or location. ingredient will be based on the zone set in google.",0.05,external_service
"this trigger fires a set number of minutes before the starting time of an event on your google calendar that contains a specific keyword or phrase. the search looks at the event’s title, description, and location.",0.37,external_service
this trigger fires a set number of minutes before the starting time of any event on your google calendar.,0.21,external_service
this trigger fires a set number of minutes before the starting time of any event on your google calendar. note: the time in the ingredient will be based on the timezone set in google calendar.,0.26,external_service
this trigger fires actions when a run on the selected tecan instrument is completed,0.05,device_state
"this trigger fires actions when the selected tecan instrument's state changes to idle, running, paused, error, user interaction required, software not running, not connected and stopped",0.05,other
this trigger fires after any door is left open for 18 minutes.,0.05,motion
this trigger fires an alert when your alarm panel has an alarm.,0.05,external_service
this trigger fires and retrieves air quality from louisville metro air sensors.,0.05,weather
this trigger fires at the hours where electricity in denmark is cheap.,0.05,schedule
this trigger fires at the hours where electricity in norway is cheap.,0.05,schedule
this trigger fires during alarms,0.16,other
this trigger fires ever time the gust speed rises above a value you specify.,0.05,other
this trigger fires evert time the nest protect you specify detects low batteries.,0.03,other
this trigger fires every day after the markets close and a stock's price drops from the previous closing price by at least the percentage you specify.,0.05,pricing
this trigger fires every day after the markets close and a stock's price rises from the previous closing price by at least the percentage you specify.,0.11,pricing
this trigger fires every day after the markets close and a stock’s closing price drops below an amount you specify.,0.03,pricing
this trigger fires every day after the markets close and a stock’s closing price rises above an amount you specify.,0.08,pricing
this trigger fires every single day at a specific time set by you.,7.91,schedule
this trigger fires every time a client device connects to the d-link router.,0.03,schedule
this trigger fires every time a device connects to google wifi.,0.13,external_service
this trigger fires every time a device disconnects from google wifi.,0.05,external_service
this trigger fires every time a device in your house turns on or off.,0.03,device_state
this trigger fires every time a group decision or direct action has been taken,0.03,schedule
this trigger fires every time a motion event is detected.,0.32,motion
this trigger fires every time a motion is detected at the given doorbell.,0.87,motion
